"p_val" "avg_log2FC" "pct.1" "pct.2" "p_val_adj" "cluster" "gene"
"RPL12" 8.8334959240991e-155 0.373506804858566 0.971 0.977 2.06694971127995e-150 "0" "RPL12"
"RPLP0" 2.84553972776994e-153 0.495667932617951 0.879 0.862 6.65827840900888e-149 "0" "RPLP0"
"RPL18" 1.88599428073385e-149 0.354477872687193 0.974 0.981 4.41303801748914e-145 "0" "RPL18"
"LUM" 1.86783377598197e-147 1.04034353145498 0.355 0.18 4.3705442524202e-143 "0" "LUM"
"S100A4" 3.45892668776112e-144 0.475316952803053 0.891 0.829 8.09354255669224e-140 "0" "S100A4"
"RPL5" 2.93121092795957e-143 0.395762307417113 0.944 0.957 6.8587404503326e-139 "0" "RPL5"
"RPS9" 5.6834864014668e-139 0.355377690472977 0.961 0.97 1.32987898307922e-134 "0" "RPS9"
"MALAT1" 9.52303934983858e-133 0.311502144538089 1 0.999 2.22829597746873e-128 "0" "MALAT1"
"RPS17" 4.24963820571596e-129 0.993745711353097 0.51 0.371 9.94372843755477e-125 "0" "RPS17"
"CLEC11A" 6.35918991997898e-129 1.08406729349992 0.28 0.129 1.48798684937588e-124 "0" "CLEC11A"
"UBA52" 7.31380948983984e-129 0.359648892318746 0.938 0.956 1.71135828252762e-124 "0" "UBA52"
"RPL23" 1.11782198921933e-128 0.484893835657954 0.844 0.831 2.61559167257431e-124 "0" "RPL23"
"BEX3" 2.09616947441183e-127 1.03575279349894 0.294 0.14 4.90482695317624e-123 "0" "BEX3"
"RPL30" 3.5510763117808e-117 0.292041986454222 0.985 0.986 8.30916346193589e-113 "0" "RPL30"
"RPL29" 1.31401103766669e-107 0.318810093012918 0.966 0.977 3.07465442703629e-103 "0" "RPL29"
"TIMP1" 3.10716475195119e-106 0.715549165337811 0.416 0.267 7.27045480309059e-102 "0" "TIMP1"
"SERPINH1" 1.33064353140586e-105 0.937628496664942 0.278 0.141 3.11357279913656e-101 "0" "SERPINH1"
"RPL14" 2.74396370869718e-105 0.344812786190641 0.947 0.965 6.42060068198053e-101 "0" "RPL14"
"DNAJB1" 1.80497938652473e-95 0.824009104590217 0.662 0.576 4.22347126652923e-91 "0" "DNAJB1"
"EEF1B2" 3.86749869698373e-95 0.448708789178768 0.816 0.838 9.04956020107222e-91 "0" "EEF1B2"
"S100A13" 4.1791492761117e-90 0.870035057441445 0.285 0.159 9.77879139117376e-86 "0" "S100A13"
"RPL6" 8.55696858675499e-90 0.304145538052409 0.944 0.965 2.0022450796148e-85 "0" "RPL6"
"RPS11" 9.47973476121491e-89 0.293995694319174 0.933 0.941 2.21816313677668e-84 "0" "RPS11"
"TPM2" 9.02361769623799e-79 0.794017390186064 0.265 0.146 2.11143630474273e-74 "0" "TPM2"
"ANXA2" 4.49881739196781e-78 0.852760425331673 0.576 0.531 1.05267828154655e-73 "0" "ANXA2"
"RPL24" 6.98153624442739e-75 0.256982195419503 0.943 0.964 1.63360966583357e-70 "0" "RPL24"
"OST4" 3.42395354391634e-74 0.501272300271295 0.755 0.76 8.01170889740985e-70 "0" "OST4"
"RPL4" 7.74071658138287e-72 0.385426164882402 0.794 0.807 1.81125027287778e-67 "0" "RPL4"
"EEF1A1" 2.65901496198314e-70 0.363498886517035 0.986 0.991 6.22182910954435e-66 "0" "EEF1A1"
"RACK1" 1.22824524432781e-69 0.253926698367406 0.934 0.952 2.87397104720265e-65 "0" "RACK1"
"MT-ND2" 1.1731627565383e-62 0.301143492399349 0.943 0.954 2.74508353402397e-58 "0" "MT-ND2"
"COX7C" 1.0523137767642e-59 0.371858765560187 0.791 0.801 2.46230900625054e-55 "0" "COX7C"
"ANXA1" 8.71917445884444e-59 0.41603436127158 0.597 0.499 2.04019963162501e-54 "0" "ANXA1"
"PPIB" 2.64920140631567e-56 0.604155329388969 0.701 0.693 6.19886637063803e-52 "0" "PPIB"
"SNRPD2" 3.18124179329546e-56 0.597713320091469 0.581 0.54 7.44378767213205e-52 "0" "SNRPD2"
"JUN" 9.03167714115426e-54 0.483757711150479 0.772 0.749 2.11332213425868e-49 "0" "JUN"
"IFITM3" 1.59275292698891e-53 0.709536842030581 0.334 0.241 3.72688257386136e-49 "0" "IFITM3"
"PRDX2" 8.32287273446261e-53 0.67516595057096 0.482 0.424 1.94746899113691e-48 "0" "PRDX2"
"ATP5MG" 1.53587538758545e-52 0.416473015795017 0.797 0.815 3.59379481941119e-48 "0" "ATP5MG"
"NDUFS5" 2.13737621936437e-51 0.48403024772419 0.686 0.681 5.0012466156907e-47 "0" "NDUFS5"
"TOMM7" 3.58574284280487e-51 0.363415171047515 0.715 0.73 8.39027967787911e-47 "0" "TOMM7"
