"p_val" "avg_log2FC" "pct.1" "pct.2" "p_val_adj" "cluster" "gene"
"FXYD6" 5.02183752898555e-223 0.443440599203027 0.767 0.38 1.17505976340733e-218 "0" "FXYD6"
"ATP6V0D2" 7.79542103486348e-223 0.445382238079779 0.894 0.498 1.82405056794771e-218 "0" "ATP6V0D2"
"SLC25A4" 2.83396124414305e-221 0.373001683511763 0.656 0.279 6.63118591517031e-217 "0" "SLC25A4"
"LAT" 2.30841530769157e-216 0.364603896924918 0.813 0.416 5.4014609784675e-212 "0" "LAT"
"MITF" 2.60185918913313e-216 0.346197909217754 0.603 0.236 6.08809031665261e-212 "0" "MITF"
"SQOR" 3.41191778138069e-216 0.391992863314596 0.821 0.435 7.98354641665268e-212 "0" "SQOR"
"CSTB" 2.06165817814726e-215 0.644441280018088 0.999 0.959 4.82407397104678e-211 "0" "CSTB"
"OCIAD2" 2.12289924220405e-214 0.431943046681704 0.768 0.39 4.96737193683326e-210 "0" "OCIAD2"
"RASSF4" 2.74682180074416e-214 0.37073295693396 0.765 0.374 6.42728833156127e-210 "0" "RASSF4"
"PSMD3" 2.01985220403357e-213 0.355032308604171 0.804 0.408 4.72625217221816e-209 "0" "PSMD3"
"TRAPPC4" 5.66960830208839e-213 0.287944783283799 0.607 0.246 1.32663164660566e-208 "0" "TRAPPC4"
"PNP" 7.72867288838885e-211 0.29775585001382 0.691 0.311 1.80843216915411e-206 "0" "PNP"
"ATP6V1C1" 1.40001984143166e-210 0.406575964239694 0.884 0.486 3.27590642696593e-206 "0" "ATP6V1C1"
"MRPS18C" 2.51441284873577e-209 0.380388760278836 0.783 0.399 5.88347462475683e-205 "0" "MRPS18C"
"RAC2" 4.90208165805761e-209 0.502593481661261 0.967 0.707 1.1470380871689e-204 "0" "RAC2"
"UQCRFS1" 6.12989309609217e-209 0.458956192689125 0.92 0.586 1.43433368555461e-204 "0" "UQCRFS1"
"TIMM17B" 8.64914116673832e-209 0.30826830452459 0.694 0.315 2.0238125416051e-204 "0" "TIMM17B"
