"p_val" "avg_log2FC" "pct.1" "pct.2" "p_val_adj" "cluster" "gene"
"ADAR" 4.99045378774696e-105 0.278172252210611 0.169 0.306 1.16771628179491e-100 "0" "ADAR"
"NFKBIA" 6.23556805643444e-105 0.252102796993279 0.291 0.489 1.45906056952509e-100 "0" "NFKBIA"
"MT1M" 2.89011076799256e-104 0.758268084505175 0.276 0.221 6.76257018602579e-100 "0" "MT1M"
"SNHG18" 3.22249947914778e-102 0.285082631485168 0.145 0.267 7.54032653125789e-98 "0" "SNHG18"
"NDUFS4" 8.67732848693801e-101 0.269275636296664 0.325 0.564 2.03040809265862e-96 "0" "NDUFS4"
"FAT1" 1.11462689449453e-100 0.280248605096189 0.218 0.381 2.60811547042774e-96 "0" "FAT1"
"MIDN" 4.9258617933392e-98 0.26273010267669 0.147 0.266 1.15260240102344e-93 "0" "MIDN"
"SEC61A1" 7.41228391021199e-97 0.318696180190128 0.216 0.381 1.7344003121505e-92 "0" "SEC61A1"
"UBE2G2" 1.74403483433476e-96 0.272877094930536 0.176 0.311 4.08086710885991e-92 "0" "UBE2G2"
"GPC1" 4.2244882134153e-96 0.954061903965954 0.306 0.277 9.88487997057046e-92 "0" "GPC1"
"ATP5ME" 4.37465868663817e-95 0.550243074656796 0.612 0.754 1.02362638608646e-90 "0" "ATP5ME"
"UQCR11" 3.63295735439081e-94 0.444541485411764 0.685 0.81 8.50075691353905e-90 "0" "UQCR11"
"SRSF7" 1.75119704460482e-93 0.258446889503023 0.414 0.704 4.09762596467082e-89 "0" "SRSF7"
"HNRNPU" 5.92842351879641e-93 0.257637997927014 0.348 0.582 1.38719181916317e-88 "0" "HNRNPU"
"DST" 2.51756001301521e-92 0.256599550459452 0.21 0.359 5.89083867445429e-88 "0" "DST"
"ATRX" 3.69784053477612e-91 0.293476592756886 0.235 0.402 8.65257706732265e-87 "0" "ATRX"
"TTC19" 2.82231709668926e-89 0.897321362100696 0.308 0.285 6.60393977454321e-85 "0" "TTC19"
"BSG" 3.15859641021307e-89 0.499890100643218 0.666 0.827 7.39079974025757e-85 "0" "BSG"
"PSMB4" 2.69090732525717e-88 0.325861740621491 0.349 0.588 6.29645405036925e-84 "0" "PSMB4"
"FOSL2" 3.5384543614981e-88 0.261663520515059 0.169 0.294 8.27962936046941e-84 "0" "FOSL2"
"RNMT" 4.58515221236485e-86 0.274538112434989 0.174 0.301 1.07287976617125e-81 "0" "RNMT"
"FAM46A" 9.41022441201338e-86 0.254332628369623 0.149 0.26 2.20189841016701e-81 "0" "FAM46A"
"A1BG" 6.09669931438203e-84 0.357721864092714 0.183 0.316 1.42656667257225e-79 "0" "A1BG"
"SNHG25" 2.9976673096957e-83 0.917418870281624 0.306 0.287 7.01424173795696e-79 "0" "SNHG25"
"CDC37" 3.74144560544693e-81 0.345350583703261 0.309 0.53 8.75460857218528e-77 "0" "CDC37"
"INSC" 1.69894138561829e-80 0.289310832934373 0.157 0.272 3.97535294820824e-76 "0" "INSC"
"CYR61" 2.07200513524626e-79 0.955984161619684 0.491 0.522 4.84828481596273e-75 "0" "CYR61"
"TRABD" 2.42987096298019e-79 0.373536701454613 0.178 0.307 5.68565506627734e-75 "0" "TRABD"
"PPP1R10" 4.49857013762729e-79 0.284286470703702 0.155 0.267 1.05262042650341e-74 "0" "PPP1R10"
"JUN" 8.39889465570397e-74 0.463170474889675 0.707 0.804 1.96525736048817e-69 "0" "JUN"
"ASH1L" 1.21203695045844e-72 0.350974086648514 0.213 0.354 2.8360452603777e-68 "0" "ASH1L"
"COPS9" 1.50071174368344e-72 0.334003755627051 0.407 0.669 3.51151540904487e-68 "0" "COPS9"
"SRSF1" 7.37814223088484e-72 0.350889021671698 0.194 0.325 1.72641150060474e-67 "0" "SRSF1"
"EMC10" 8.04274947041284e-71 0.429715902094464 0.239 0.399 1.8819229485819e-66 "0" "EMC10"
"MEF2C" 1.31870816991135e-69 0.358924408692619 0.329 0.538 3.08564524677556e-65 "0" "MEF2C"
"SAT1" 2.2025010467371e-69 0.356611552517109 0.405 0.621 5.15363219926014e-65 "0" "SAT1"
"RPL26" 1.70408941364009e-68 0.365158981962931 0.963 0.991 3.98739881897645e-64 "0" "RPL26"
"MPHOSPH8" 2.10668881678458e-67 0.386183190333608 0.27 0.451 4.92944116239424e-63 "0" "MPHOSPH8"
"PRPF4B" 5.92848626904184e-66 0.363171941262992 0.233 0.382 1.3872065020931e-61 "0" "PRPF4B"
"ZSCAN16-AS1" 1.6830909590685e-65 0.380084202510169 0.205 0.338 3.93826453512439e-61 "0" "ZSCAN16-AS1"
"GLG1" 3.89444714848668e-65 0.339331635647309 0.221 0.363 9.11261688274397e-61 "0" "GLG1"
"MT-ND5" 6.50894120744729e-62 0.396130720595096 0.792 0.932 1.52302715313059e-57 "0" "MT-ND5"
"CLU" 5.12194902834191e-61 0.258330523036814 0.187 0.299 1.19848485314172e-56 "0" "CLU"
